time,x,y,z
61000,0.04,0.0,-0.87
61100,0.04,-0.01,-0.84
61200,0.04,0.0,-0.88
61300,0.04,0.0,-0.86
61400,0.04,0.0,-0.86
61500,0.04,0.0,-0.87
61600,0.04,0.01,-0.86
61700,0.02,-0.01,-0.83
61800,0.05,0.0,-0.87
61900,0.04,0.0,-0.86
62000,0.04,0.0,-0.87
62100,0.04,0.0,-0.86
62200,0.02,0.01,-0.87
62300,0.04,0.0,-0.87
62400,0.04,0.0,-0.87
62500,0.04,0.0,-0.87
62600,0.04,0.02,-0.84
62700,0.04,0.0,-0.88
62800,0.02,0.01,-0.87
62900,0.04,0.01,-0.88
63000,0.03,0.0,-0.86
63100,0.04,0.0,-0.87
63200,0.02,0.0,-0.9
63300,0.04,0.0,-0.88
63400,0.04,0.01,-0.86
63500,0.04,0.01,-0.87
63600,0.03,0.01,-0.86
63700,0.03,0.0,-0.88
63800,0.03,0.01,-0.87
63900,0.04,0.01,-0.87
64000,0.03,0.01,-0.87
64100,0.0,0.0,-0.94
64200,0.03,0.0,-0.85
64300,0.03,0.01,-0.86
64400,0.03,0.01,-0.86
64500,0.04,0.0,-0.85
64600,0.04,0.01,-0.86
64700,0.04,0.01,-0.86
64800,0.04,0.01,-0.87
64900,0.03,0.01,-0.87
65000,0.05,-0.02,-0.85
65100,0.04,-0.02,-0.85
65200,0.04,0.0,-0.86
65300,0.06,0.0,-0.84
65400,0.04,0.01,-0.85
65500,0.05,-0.01,-0.88
65600,0.05,0.02,-0.86
65700,0.04,0.02,-0.8
65800,0.05,0.0,-0.88
65900,0.04,0.0,-0.87
66000,0.04,0.01,-0.86
66100,0.03,0.01,-0.86
66200,0.04,0.0,-0.86
66300,0.04,0.0,-0.88
66400,0.04,0.01,-0.87
66500,0.04,0.0,-0.87
66600,0.04,0.0,-0.86
66700,0.04,0.0,-0.87
66800,0.04,0.0,-0.87
66900,0.03,0.01,-0.86
67000,0.04,0.01,-0.87
67100,0.05,-0.0,-0.88
67200,0.03,0.0,-0.88
67300,0.03,0.0,-0.87
67400,0.04,0.01,-0.88
67500,0.04,0.0,-0.88
67600,0.03,0.01,-0.86
67700,0.04,0.0,-0.89
67800,0.04,0.01,-0.88
67900,0.04,0.01,-0.87
68000,0.04,0.0,-0.86
68100,0.05,0.0,-0.9
68200,0.02,0.02,-0.87
68300,0.08,0.0,-0.9
68400,0.02,0.03,-0.85
68500,0.04,0.0,-0.87
68600,0.03,0.0,-0.88
68700,0.04,0.01,-0.86
68800,0.04,0.01,-0.87
68900,0.03,0.01,-0.86
69000,0.04,0.01,-0.86
69100,0.03,0.0,-0.86
69200,0.03,0.02,-0.88
69300,0.03,0.01,-0.87
69400,0.05,0.0,-0.85
69500,0.04,0.0,-0.87
69600,0.04,0.01,-0.87
69700,0.03,0.0,-0.86
69800,0.04,0.0,-0.88
